"company, firm, business","azienda <br />"
"theater, theatre","teatro <br />Esempio: Andiamo al teatro stasera a vedere una commedia."
"Turin","Torino <br />Esempio: Ho visitato Torino lo scorso anno, è una città bellissima."
"to launch, to throw","lanciare <br />Esempio: Hanno deciso di lanciare un nuovo prodotto sul mercato."
"community","comunità <br />Esempio: Questa comunità ha bisogno di maggiori risorse per crescere."
"to introduce, to bring in","introdurre <br />Esempio: Il professore ha deciso di introdurre un nuovo argomento in classe."
"power, potency","potenza <br />Esempio: Questo motore ha una potenza notevole."
"minister","ministro <br />Esempio: Il nuovo ministro della giustizia ha annunciato una riforma importante."
"account, bill, story","conto <br />Esempio: Non riesco ad accedere al mio conto bancario online."
"to increase, to raise","aumentare <br />Esempio: L'azienda ha deciso di aumentare i prezzi dei prodotti."
"together, along with","assieme <br />Esempio: Andiamo a fare la spesa assieme stasera."
"category","categoria <br />Esempio: Questo prodotto rientra nella categoria degli elettrodomestici."
"nobody, no one","nessuno <br />Esempio: Non c'era nessuno in ufficio quando sono arrivato."
"TV, television","tv <br />Esempio: Guardiamo sempre le notizie in TV."
"same, oneself","stessi <br />Esempio: Ho gli stessi gusti di mio fratello."
"capital, city","capitale <br />Esempio: Roma è la capitale d'Italia."
"to host, to accommodate","ospitare <br />Esempio: Questo hotel può ospitare fino a 100 persone."
"recent, new","recente <br />Esempio: Ho letto un articolo interessante su un recente studio scientifico."
"any, whatever","qualsiasi <br />Esempio: Puoi scegliere qualsiasi piatto dal menu."
"to destroy, to demolish","distruggere <br />Esempio: Il terremoto ha distrutto molte case."
"contemporary, modern","contemporaneo <br />Esempio: L'arte contemporanea è molto interessante."
"enemy, foe","nemico <br />Esempio: Bisogna stare attenti ai propri nemici."
"Catholic","cattolico <br />Esempio: Sono cresciuto in una famiglia cattolica."
"companion, partner","compagno <br />Esempio: Mio marito è il mio compagno di vita."
"soon, quickly","presto <br />Example: Arriverò presto a casa. (I will arrive soon at home.)"
"to undergo, to suffer","subire <br />Example: Ho subito un incidente stradale. (I underwent a car accident.)"
"both","entrambi <br />Example: Entrambi i libri sono molto belli. (Both books are very beautiful.)"
"villa, country house","villa <br />Example: Abbiamo affittato una villa in campagna. (We rented a villa in the countryside.)"
"left","sinistra <br />Example: Gira a sinistra al semaforo. (Turn left at the traffic light.)"
"to face, to confront","affrontare <br />Example: Dobbiamo affrontare il problema con serietà. (We need to face the problem seriously.)"
"in front of, before","davanti <br />Example: Il cinema è davanti alla stazione. (The cinema is in front of the train station.)"
"Joseph","Giuseppe <br />Example: Giuseppe è un nome comune in Italia. (Joseph is a common name in Italy.)"
"cultural","culturale <br />Example: Il centro culturale organizza eventi interessanti. (The cultural center organizes interesting events.)"
"to possess, to own","possedere <br />Example: Lei possiede molte proprietà. (She owns many properties.)"
"freedom","libertà <br />Example: La libertà di parola è un diritto fondamentale. (Freedom of speech is a fundamental right.)"
"track, trace, clue","traccia <br />Example: Non c'è traccia del ladro. (There is no trace of the thief.)"
"to mark, to sign","segnare <br />Example: Puoi segnare qui dove hai firmato? (Can you sign here where you signed?)"
"defense","difesa <br />Example: La squadra di calcio ha una buona difesa. (The soccer team has a good defense.)"
"direction, management","direzione <br />Example: Chiedi la direzione alla stazione. (Ask for directions at the station.)"
"only, just","soltanto <br />Example: Ho soltanto due euro. (I have only two euros.)"
"rich","ricco <br />Example: La famiglia di mio padre è molto ricca. (My father's family is very rich.)"
"double","doppio <br />Example: Il prezzo è doppio rispetto a quello che pensavo. (The price is double what I thought.)"
"to grow","crescere <br />Example: I bambini crescono in fretta. (Children grow up quickly.)"
"field, area","ambito <br />Example: Lavora nell'ambito della moda. (She works in the fashion field.)"
"initially","inizialmente <br />Example: Inizialmente non ero d'accordo, ma poi ho cambiato idea. (Initially, I didn't agree, but then I changed my mind.)"
"cost, price","costo <br />Example: Qual è il costo di questo prodotto? (What is the cost of this product?)"
"piece","pezzo <br />Example: Ho comprato un pezzo di torta per il mio compleanno. (I bought a piece of cake for my birthday.)"
"notable, remarkable","notevole <br />Example: Ha fatto un lavoro notevole. (He did a remarkable job.)"
"western \nGli Stati Uniti sono situati nell'emisfero occidentale. (The United States are located in the western hemisphere.)","occidentale <br />"
"struggle, fight \nLa lotta per la giustizia sociale continua. (The struggle for social justice continues.)","lotta <br />"
"to try, to test, to feel \nVorrei provare il gelato al cioccolato, per favore. (I would like to try the chocolate ice cream, please.)","provare <br />"
"equal, peer \nTutti gli studenti sono pari in diritti e dignità. (All students are equal in rights and dignity.)","pari <br />"
"hit, blow, shot, stroke \nIl pugile ha messo a segno un colpo potente. (The boxer landed a powerful blow.)","colpo <br />"
"castle \nIl castello medievale è una meraviglia dell'architettura. (The medieval castle is a marvel of architecture.)","castello <br />"
"charge, load, position, rank \nIl dottore ha prescritto una carica di antibiotici. (The doctor prescribed a course of antibiotics.)","carica <br />"
"to send, to order \nManderò un messaggio alla mia famiglia per far sapere che sto bene. (I will send a message to my family to let them know that I'm okay.)","mandare <br />"
"page \nHo segnato la pagina dove avevo lasciato la lettura. (I marked the page where I had stopped reading.)","pagina <br />"
"security, safety \nIl vigile del quartiere garantisce la sicurezza dei residenti. (The neighborhood watchman ensures the safety of residents.)","sicurezza <br />"
"distance \nLa distanza tra Roma e Milano è di circa 570 km. (The distance between Rome and Milan is about 570 km.)","distanza <br />"
"commercial, business","commerciale <br />undefined"
"to end, to finish \nHo terminato di leggere il romanzo di 600 pagine in una settimana. (I","terminare <br />undefined"
"page novel in one week.)","finished reading the 600<br />"
"to mean \nCosa significa questa parola in inglese? (What does this word mean in English?)","significare <br />"
"consequence, result \nLa conseguenza della sua azione ha portato a conseguenze serie. (The consequence of his action led to serious consequences.)","conseguenza <br />"
"great, grand \nIl Gran Canyon è una meraviglia naturale degli Stati Uniti. (The Grand Canyon is a natural wonder of the United States.)","Gran <br />"
"cinema, movie theater \nAndiamo al cinema a vedere l'ultimo film di fantascienza. (Let's go to the cinema to see the latest science fiction movie.)","cinema <br />"
"kingdom, realm \nIl Regno Unito comprende l'Inghilterra, la Scozia, il Galles e l'Irlanda del Nord. (The United Kingdom includes England, Scotland, Wales, and Northern Ireland.)","Regno <br />"
"to look, to watch \nGuardo sempre il tramonto dal mio balcone. (I always watch the sunset from my balcony.)","guardare <br />"
"to pay \nPosso pagare con la carta di credito? (Can I pay with a credit card?)","pagare <br />"
"something \nC'è qualcosa di strano in questa casa. (There's something strange about this house.)","qualcosa <br />"
"bishop","vescovo <br />Example sentence: Il vescovo ha celebrato la messa. (The bishop celebrated the mass.)"
"election","elezione <br />Example sentence: L'elezione del nuovo presidente si terrà domani. (The election of the new president will be held tomorrow.)"
"British","britannico <br />Example sentence: La bandiera britannica è composta da tre croci. (The British flag is composed of three crosses.)"
"knowledge","conoscenza <br />Example sentence: La conoscenza di una seconda lingua può essere molto utile. (Knowledge of a second language can be very useful.)"
"help, aid","aiuto <br />Example sentence: Ho bisogno di aiuto per portare queste scatole su per le scale. (I need help to carry these boxes up the stairs.)"
"singer","cantante <br />Example sentence: Questo cantante ha una voce bellissima. (This singer has a beautiful voice.)"
"surface","superficie <br />Example sentence: La superficie del tavolo è molto liscia. (The surface of the table is very smooth.)"
"meter","m <br />Example sentence: La lunghezza del campo da calcio è di circa 100 metri. (The length of the soccer field is about 100 meters.)"
"way, manner","maniera <br />Example sentence: C'è una sola maniera di risolvere questo problema. (There is only one way to solve this problem.)"
"pleasure, to like","piacere <br />Example sentence: È stato un piacere conoscerti. (It was a pleasure to meet you.)"
"to answer, to reply","rispondere <br />Example sentence: Non ha ancora risposto alla mia email. (He hasn't answered my email yet.)"
"to limit","limitare <br />Example sentence: È importante limitare il consumo di zucchero. (It's important to limit sugar consumption.)"
"bee","B <br />Example sentence: Le api sono molto importanti per la produzione di miele. (Bees are very important for the production of honey.)"
"Marco","Marco <br />Example sentence: Marco è un amico di vecchia data. (Marco is an old friend.)"
"to connect, to link","collegare <br />Example sentence: Dobbiamo collegare il computer alla stampante. (We need to connect the computer to the printer.)"
"emperor","imperatore <br />Example sentence: L'imperatore romano Augusto è stato uno dei più importanti della storia. (The Roman emperor Augustus was one of the most important in history.)"
"available","disponibile <br />Example sentence: Non ho più nessun appuntamento disponibile per la settimana prossima. (I don't have any more available appointments for next week.)"
"pilot","pilota <br />Example sentence: Il pilota ha fatto un ottimo lavoro nell'atterraggio. (The pilot did an excellent job in landing.)"
"criticism","critica <br />Example sentence: La critica cinematografica ha elogiato il nuovo film. (The film critics praised the new movie.)"
"summer","estate <br />Example sentence: In estate, mi piace andare al mare. (In summer, I like to go to the beach.)"
"to fall","cadere <br />Example sentence: Non è caduto, si è solo inciampato. (He didn't fall, he just stumbled.)"
"Paris","Parigi <br />Example sentence: Parigi è una delle città più belle del mondo. (Paris is one of the most beautiful cities in the world.)"
"contact","contatto <br />Example sentence: Per favore, lasciami il tuo contatto telefonico. (Please, leave me your phone contact.)"
"a city in northern England","York <br />Esempio: Io vivo vicino a York."
"attempt","tentativo <br />Esempio: Il mio tentativo di risolvere il problema non è andato a buon fine."
"to understand, to mean","intendere <br />Esempio: Non riesco ad intendere cosa voglia dire questo testo."
"plant, floor plan","pianta <br />Esempio: Questa pianta ha bisogno di più acqua."
"land, ground","terreno <br />Esempio: Ho appena acquistato un terreno vicino al mare."
"evening","sera <br />Esempio: Mi piace uscire la sera per andare al cinema."
"park","parco <br />Esempio: Andiamo a fare un picnic al parco domani."
"to convince","convincere <br />Esempio: Ho cercato di convincere mio fratello a venire al concerto con me."
"solution","soluzione <br />Esempio: Sto cercando di trovare una soluzione al mio problema."
"to report, to refer","riferire <br />Esempio: Dovresti riferire questo incidente alla polizia."
"association","associazione <br />Esempio: Sono un membro di un'associazione locale di volontariato."
"to transmit, to broadcast","trasmettere <br />Esempio: La stazione radio trasmetterà il concerto in diretta."
"deep","profondo <br />Esempio: Il lago è molto profondo."
"Spanish","spagnolo <br />Esempio: Ho imparato a parlare lo spagnolo in Spagna."
"to accomplish, to complete","compiere <br />Esempio: Sono riuscito a compiere il progetto in tempo."
"Link","MySQL<br />undefined"
"Link per far funzionare il mio sito web.","Esempio: Ho bisogno di installare MySQL<br />"
"inferior, lower","inferiore <br />Esempio: Il piano inferiore dell'edificio è occupato da un negozio di alimentari."
"state","Stato <br />Esempio: Sono nato nello Stato di New York."
"to miss, to lack","mancare <br />Esempio: Mi manchi molto quando non sei qui."
"people","gente <br />Esempio: C'è molta gente alla stazione dei treni oggi."
"to count, to matter","contare <br />Esempio: Sto cercando di contare tutti i soldi nella mia borsa."
"objective, goal","obiettivo <br />Esempio: Ho un obiettivo preciso in mente per la mia carriera."
"passage, crossing","passaggio <br />Esempio: Il passaggio a livello è chiuso per la manutenzione."
"count (nobleman)","conte <br />Esempio: Il conte vive in una grande villa fuori città."
"border, boundary \nIl confine tra i due paesi è fortemente sorvegliato. (The border between the two countries is heavily guarded.)","confine <br />"
"to cause \nLa pioggia ha causato la cancellazione della partita di calcio. (The rain caused the cancellation of the football match.)","causare <br />"
"behind, after \nLa mia casa si trova dietro l'ufficio postale. (My house is located behind the post office.)","dietro <br />"
"media \nLa televisione è un mezzo di comunicazione di massa. (Television is a mass media communication tool.)","media <br />"
"immediate \nHo bisogno di una risposta immediata. (I need an immediate response.)","immediato <br />"
"foot \nHo bisogno di un nuovo paio di scarpe da ginnastica per il piede destro. (I need a new pair of sneakers for my right foot.)","piede <br />"
"paper, card \nHo scritto la lettera su un foglio di carta. (I wrote the letter on a piece of paper.)","carta <br />"
"method, way \nQuesto è un buon metodo per imparare una lingua straniera. (This is a good method to learn a foreign language.)","metodo <br />"
"Florence \nHo visitato Firenze lo scorso anno. (I visited Florence last year.)","Firenze <br />"
"command, order \nHo dato un comando al mio computer per salvare il documento. (I gave a command to my computer to save the document.)","comando <br />"
"step, pace \nDevi fare un passo alla volta per raggiungere la cima della montagna. (You have to take one step at a time to reach the top of the mountain.)","passo <br />"
"note, mark \nHo preso una buona nota all'esame di matematica. (I got a good mark on the math exam.)","nota <br />"
"east \nIl sole sorge a est e tramonta a ovest. (The sun rises in the east and sets in the west.)","est <br />"
"sample, champion \nHo bisogno di un campione di tessuto per scegliere il colore giusto. (I need a sample of fabric to choose the right color.)","campione <br />"
"mission, assignment \nLa mia missione è quella di aiutare le persone bisognose. (My mission is to help people in need.)","missione <br />"
"X \nLa variabile X rappresenta un valore sconosciuto. (The variable X represents an unknown value.)","X <br />"
"to allocate, to assign \nHo destinato una parte del mio stipendio al risparmio. (I allocated a part of my salary to savings.)","destinare <br />"
"to entrust, to assign \nHo affidato la custodia del mio cane al mio vicino di casa. (I entrusted the care of my dog to my neighbor.)","affidare <br />"
"obvious, evident \nÈ ovvio che ha mentito. (It's obvious that he lied.)","ovvio <br />"
"armed \nL'uomo armato è stato arrestato dalla polizia. (The armed man was arrested by the police.)","armato <br />"
"transmission, broadcast \nLa trasmissione televisiva inizia alle 20:00. (The TV broadcast starts at 8:00 PM.)","trasmissione <br />"
"economy \nL'economia del paese sta migliorando. (The country's economy is improving.)","economia <br />"
"specific \nHo bisogno di informazioni specifiche sul prodotto. (I need specific information about the product.)","specifico <br />"
"contract \nHo appena firmato un contratto per comprare una casa.","contratto <br />"
"document \nHo bisogno di un documento d'identità per prendere l'aereo.","documento <br />"
"to purchase, buy \nVado al negozio per acquistare il latte.","acquistare <br />"
"magazine \nHo comprato una rivista di cucina per trovare una ricetta nuova.","rivista <br />"
"price \nIl prezzo della benzina sta aumentando.","prezzo <br />"
"high, elevated \nIl prezzo dell'oro è elevato.","elevato <br />"
"although, even though \nSebbene piova, uscirò a fare una passeggiata.","sebbene <br />"
"troop \nLe truppe si sono radunate per la parata.","truppa <br />"
"Spain \nSono appena tornato dalla Spagna.","Spagna <br />"
"to draw, extract, derive \nPosso trarre una conclusione da ciò che hai detto.","trarre <br />"
"Latin \nSto studiando il latino a scuola.","latino <br />"
"Venice \nVenezia è famosa per i suoi canali e gondole.","Venezia <br />"
"to vote \nVoterò per il candidato che sostiene l'ambiente.","votare <br />"
"memory \nHo una memoria eccellente per le date.","memoria <br />"
"to notice, to remark \nHo notato che la tua macchina nuova è molto bella.","notare <br />"
"also, as well \nMi piacciono la pizza e la pasta, ma pure il sushi.","pure <br />"
"fire \nIl fuoco sta bruciando la casa.","fuoco <br />"
"serious, grave \nL'infezione è molto grave e richiede un intervento chirurgico.","grave <br />"
"sporty \nMi piace indossare abbigliamento sportivo quando vado in palestra.","sportivo <br />"
"phenomenon \nL'eclissi è un fenomeno naturale interessante.","fenomeno <br />"
"attention \nPresta attenzione a ciò che dici.","attenzione <br />"
"fundamental \nLa scienza è una parte fondamentale dell'educazione.","fondamentale <br />"
