"saint, holy","santo <br />San Francesco d'Assisi è un santo molto venerato."
"to be enough, suffice","bastare <br />Una sola fetta di torta non basta per me."
"marriage, wedding","matrimonio <br />La coppia ha deciso di celebrare il loro matrimonio in spiaggia."
"sign, symbol, mark","segno <br />Questo segno indica la direzione da seguire."
"tied, connected, linked, tied up","legato <br />Le sue mani erano legate dietro la schiena."
"so","cosiddetto <br />undefined"
"called "best book of the year" didn't impress me.)","(The so<br />"
"to live, reside","abitare <br />Io abito in centro città."
"installation, system, plant","impianto <br />L'impianto elettrico della casa ha bisogno di essere controllato."
"joke, prank","facezia <br />Il mio amico mi ha fatto una facezia che mi ha fatto ridere."
"to elect, choose, select","eleggere <br />Gli elettori hanno deciso di eleggere un nuovo sindaco."
"seven, set","sette <br />Il gioco delle sette e mezzo è un gioco di carte tradizionale italiano."
"collaboration, cooperation","collaborazione <br />La collaborazione tra i dipartimenti ha portato a grandi risultati."
"to distinguish, differentiate","distinguere <br />È difficile distinguere il vero dal falso in questa situazione."
"police, law enforcement","polizia <br />La polizia ha arrestato il ladro."
"USA, United States of America","Usa <br />Gli Stati Uniti d'America sono il terzo paese più popoloso del mondo."
"to stop, halt, arrest","fermare <br />La polizia ha fermato il traffico per consentire ai pedoni di attraversare la strada."
"to bring, carry","recare <br />Posso recare il tuo bagaglio?"
"car, automobile","auto <br />La mia auto è parcheggiata di fronte alla casa."
"to accompany","accompagnare <br />Posso accompagnarti alla stazione."
"event, story, affair","vicenda <br />Questa è una vicenda molto triste."
"to turn, to shoot (a movie)","girare <br />Devi girare a destra al semaforo."
"demonstration, event, manifestation","manifestazione <br />Ci sarà una manifestazione contro il razzismo."
"birth","nascita <br />La mia nascita è stata in un piccolo paese."
"Christian","cristiano <br />Sono un Cristiano devoto."
"to impose","imporre <br />Il governo ha deciso di imporre nuove tasse."
"concert","concerto <br />Andiamo al concerto dei Coldplay."
"section","sezione <br />La mia classe è divisa in sezioni."
"open","aperto <br />Il negozio è aperto dalle 9 alle 17."
"at, to, in (preposition used in various contexts)","A <br />Sono a casa."
"user","utente <br />L'utente ha bisogno di una password per accedere al sistema."
"to arise, to emerge","sorgere <br />Un problema è sorgere durante la riunione."
"right","destra <br />Devi girare a destra al semaforo."
"flight","volo <br />Prenderò il volo per Parigi domani mattina."
"sun","sole <br />Il sole è molto caldo oggi."
"end, finished, finally","fin <br />È finita la mia cena."
"care, treatment","cura <br />Ho bisogno di cure mediche."
"favor","favore <br />Mi faresti un grande favore se mi potessi aiutare?"
"to commit, to engage, to involve","impegnare <br />Mi devo impegnare di più per migliorare il mio italiano."
"wide, spacious","largo <br />Il salone è molto largo."
"writer","scrittore <br />Mio padre è un famoso scrittore."
"symbol","simbolo <br />La croce è un simbolo del cristianesimo."
"commission, committee","commissione <br />La commissione ha approvato il progetto."
"Japanese","giapponese <br />Mi piace la cucina giapponese."
"show, performance","spettacolo <br />Stasera andiamo a vedere uno spettacolo teatrale."
"to determine, to decide","determinare <br />È importante determinare la causa del problema."
"Sunday","domenica <br />Vado al parco ogni domenica."
"really, truly","davvero <br />Hai davvero deciso di fare questo?"
"oneself","sé <br />Devi conoscere te stesso per avere successo."
"volume, book","volume <br />Ho appena finito di leggere un volume molto interessante."
"arrangement, disposition","disposizione <br />Ho cambiato la disposizione dei mobili in soggiorno."
"good, kind","buon <br />Il mio vicino di casa è una persona molto buona."
"concept, idea","concetto <br />Non capisco bene questo concetto."
"to adopt, to take on","adottare <br />Il governo ha deciso di adottare una nuova politica."
"around, about","attorno <br />C'è molta confusione attorno a questa questione."
"director","regista <br />Il regista ha vinto un premio per il suo ultimo film."
"exit, way out","uscita <br />La uscita di emergenza è vicino all'ascensore."
"Earth","Terra <br />La Terra è il terzo pianeta del nostro sistema solare."
"conflict, dispute","conflitto <br />C'è stato un conflitto tra i due dipendenti."
"difficulty, hardship","difficoltà <br />Sto attraversando un periodo di difficoltà."
"gentleman, sir","signore <br />Il signore ha gentilmente aperto la porta. (The gentleman kindly opened the door.)"
"need, necessity","bisogno <br />Ho bisogno di acquistare alcuni generi alimentari. (I need to buy some groceries.)"
"feminine","femminile <br />Il vestito è di taglia femminile. (The dress is in the feminine size.)"
"to provoke, to cause","provocare <br />Le sue parole hanno provocato una forte reazione emotiva. (His words caused a strong emotional reaction.)"
"arrival","arrivo <br />Il nostro volo è stato ritardato e l'arrivo è previsto per le 22. (Our flight was delayed and the arrival is expected at 10pm.)"
"to guarantee, to ensure","garantire <br />Posso garantire che il lavoro sarà completato entro la fine del mese. (I can guarantee that the work will be completed by the end of the month.)"
"England","Inghilterra <br />Sono stato in Inghilterra per le vacanze estive. (I went to England for the summer holidays.)"
"to control, to check","controllare <br />Dobbiamo controllare se abbiamo tutti i documenti necessari. (We need to check if we have all the necessary documents.)"
"peace","pace <br />La pace è fondamentale per la felicità degli esseri umani. (Peace is essential for human happiness.)"
"damage, harm","danno <br />L'incidente ha causato molti danni materiali. (The accident caused a lot of material damage.)"
"Union","Unione <br />L'Unione Europea è composta da molti Paesi membri. (The European Union is composed of many member countries.)"
"entrance, admission","ingresso <br />L'ingresso al museo è gratuito il primo sabato di ogni mese. (Admission to the museum is free on the first Saturday of every month.)"
"Cup","Coppa <br />La squadra ha vinto la Coppa del Mondo di calcio. (The team won the World Cup in soccer.)"
"kind, sort","sorta <br />Ha raccolto una sorta di piante esotiche nel suo giardino. (He collected a kind of exotic plants in his garden.)"
"exclusive","esclusivo <br />Il negozio vende solo prodotti esclusivi e di alta qualità. (The shop sells only "
"quality products.)","exclusive and high<br />"
"to manage, to handle","gestire <br />Devo gestire molte responsabilità al lavoro. (I have to manage a lot of responsibilities at work.)"
"to assign, to allocate","assegnare <br />L'insegnante ha assegnato il compito ai suoi studenti. (The teacher assigned the task to his students.)"
"to extend, to expand","estendere <br />Abbiamo bisogno di estendere la nostra rete di contatti. (We need to expand our network of contacts.)"
"evolution","evoluzione <br />L'evoluzione delle specie è stata studiata da molti scienziati. (The evolution of species has been studied by many scientists.)"
"technology","tecnologia <br />La tecnologia sta rapidamente cambiando la nostra società. (Technology is rapidly changing our society.)"
"to cross","attraversare <br />Ho dovuto attraversare la strada"
"illness \nLa malattia mi ha costretto a stare a casa per una settimana.","malattia <br />"
"famous \nIl pittore è diventato celebre dopo la sua mostra al museo.","celebre <br />"
"to prevent, to hinder \nLa pioggia ci ha impedito di andare al parco.","impedire <br />"
"even, actually \nLa casa era addirittura più grande di quanto ci aspettassimo.","addirittura <br />"
"daily, everyday \nIl quotidiano ha pubblicato una notizia interessante.","quotidiano <br />"
"party, celebration \nOggi c'è una grande festa in piazza.","festa <br />"
"message \nHo inviato un messaggio al mio amico per augurargli buona fortuna.","messaggio <br />"
"question, demand \nHo una domanda per te, quanto tempo ci vuole per andare in centro?","domanda <br />"
"to attribute, to assign \nLa responsabilità dell'incidente è stata attribuita al conducente.","attribuire <br />"
"pope \nIl Papa è il capo della Chiesa cattolica.","papa <br />"
"your (plural or formal) \nIl vostro contributo è molto apprezzato.","vostro <br />"
"further, additional \nStiamo cercando ulteriori informazioni sulla vicenda.","ulteriore <br />"
"such \nHo bisogno di tali documenti per poter procedere con la pratica.","tali <br />"
"North \nSono andato a sciare in una località del Nord.","Nord <br />"
"to endow, to equip \nLa scuola è dotata di tecnologie all'avanguardia.","dotare <br />"
"you \nHo bisogno di parlare con te al più presto.","te <br />"
"navy, marina \nMio padre ha servito nella marina per molti anni.","marina <br />"
"analysis \nL'analisi dei dati ha rivelato un problema nel sistema.","analisi <br />"
"location, place \nQuesta località turistica è molto bella.","località <br />"
"forward, ahead \nVai avanti e non guardarti indietro.","avanti <br />"
"minimum, smallest \nÈ richiesto un livello minimo di conoscenza dell'inglese.","minimo <br />"
"different \nLe opinioni dei nostri genitori sono diverse dalle nostre.","differente <br />"
"to title, to name, to entitle","intitolare <br />Ho deciso di intitolare il mio nuovo libro "La Città Infinita"."
"thought, idea, thinking","pensiero <br />Il mio pensiero è che dovremmo fare più esercizio fisico."
"decision, determination, resolution","decisione <br />Ho preso la decisione di andare in vacanza la prossima settimana."
"abbreviation for "numero" (number)","n. <br />Ho bisogno del n. di telefono del mio amico per chiamarlo."
"enterprise, business, company","impresa <br />La mia impresa sta crescendo rapidamente."
"soldier, troop","soldato <br />Mio padre è stato un soldato durante la Seconda Guerra Mondiale."
"newspaper, journal, magazine","giornale <br />Ho letto una notizia interessante sul giornale di oggi."
"to sing","cantare <br />Mi piace cantare canzoni pop."
"current, flow, stream","corrente <br />La corrente dell'acqua era molto forte."
"car, vehicle","vettura <br />Ho comprato una nuova vettura per il mio lavoro."
"to refuse, to reject, to decline","rifiutare <br />Ho dovuto rifiutare l'offerta di lavoro perché non mi piaceva il lavoro."
"practical, handy, functional","pratico <br />Questo strumento è molto pratico per risolvere il problema."
"to be worth, to value, to have value","valere <br />Questo dipinto antico vale molto denaro."
"to spread, to disseminate, to propagate","diffondere <br />La notizia si è diffusa rapidamente su internet."
"neighborhood, district, quarter","quartiere <br />Vivo in un quartiere tranquillo con la mia famiglia."
"to continue, to proceed, to carry on","proseguire <br />Dobbiamo proseguire il nostro lavoro per finirlo in tempo."
"abbreviation for "Santo" (Saint)","Sant' <br />La chiesa di Sant' Agostino è molto bella."
"clash, collision, conflict","scontro <br />C'è stato uno scontro tra due automobili questa mattina."
"use, usage, utilization","utilizzo <br />L'utilizzo delle tecnologie moderne è diventato indispensabile."
"ten","dieci <br />Ho bisogno di dieci mele per la mia ricetta."
"quantity, amount","quantità <br />Ho bisogno di una grande quantità di farina per fare la torta. (I need a large quantity of flour to make the cake.)"
"large, big, wholesale","grosso <br />Ho comprato un sacco di patate al supermercato all'ingrosso. (I bought a sack of potatoes at the wholesale supermarket.)"
"temperature","temperatura <br />La temperatura è troppo alta per stare fuori al sole. (The temperature is too high to stay outside in the sun.)"
"there","lì <br />Lì c'è una buona pizzeria, andiamo a mangiare lì stasera. (There is a good pizzeria, let's go eat there tonight.)"
"sky, heaven","cielo <br />La sera il cielo si colora di rosso e arancione. (In the evening, the sky turns red and orange.)"
"empire","Impero <br />L'Impero romano fu uno dei più grandi imperi della storia. (The Roman Empire was one of the greatest empires in history.)"
"precisely, exactly, note","appunto <br />Non ho capito bene il tuo appunto, puoi spiegarmi meglio? (I didn't understand your note well, can you explain it to me better?)"
"risk, danger","rischio <br />Andare in montagna senza una guida è un grande rischio. (Going to the mountains without a guide is a big risk.)"
"to move, to shift","spostare <br />Devo spostare il tavolo per pulire il pavimento. (I need to move the table to clean the floor.)"
"someone, somebody, anyone","qualcuno <br />Qualcuno ha dimenticato il proprio telefono sulla scrivania, ma non so di chi sia. (Someone forgot their phone on the desk, but I don't know whose it is.)"
"to, towards, at","to <br />Vado to Roma per visitare il Colosseo. (I'm going to Rome to visit the Colosseum.)"
"horse","cavallo <br />Mia sorella ama andare a cavallo nel parco. (My sister loves to go horseback riding in the park.)"
"victim","vittima <br />La donna è stata la vittima di un crimine violento. (The woman was the victim of a violent crime.)"
"list","lista <br />Ho fatto una lista della spesa per il supermercato. (I made a grocery shopping list for the supermarket.)"
"hunt, hunting","caccia <br />Mio padre va a caccia ogni anno con i suoi amici. (My father goes hunting every year with his friends.)"
"mainly, mostly","principalmente <br />Nel mio lavoro devo scrivere principalmente report e analisi. (In my job, I mostly have to write reports and analysis.)"
"precise, accurate","preciso <br />È importante fare una misurazione precisa per ottenere il risultato corretto. (It's important to make a precise measurement to get the correct result.)"
"gallery, tunnel","galleria <br />La galleria d'arte ha una mostra interessante sul Rinascimento italiano. (The art gallery has an interesting exhibition on the Italian Renaissance.)"
"day","giornata <br />Oggi è stata una giornata impegnativa al lavoro. (Today was a busy day at work.)"
"valley","valle <br />La Valle d'Aosta"
"President \nIl Presidente della Repubblica è il capo dello Stato italiano.","Presidente <br />undefined"
"resistance \nLa resistenza partigiana si oppose all'occupazione nazifascista durante la Seconda Guerra Mondiale.","resistenza <br />undefined"
"sister \nMia sorella maggiore si chiama Maria.","sorella <br />undefined"
"Henry \nIl re Enrico VIII d'Inghilterra è famoso per aver sposato sei volte.","Enrico <br />undefined"
"to verify, to check \nDevo verificare se ho chiuso la porta a chiave.","verificare <br />undefined"
"to announce \nIl presidente della compagnia ha annunciato un aumento salariale per tutti i dipendenti.","annunciare <br />undefined"
"story, tale \nIl racconto del film è tratto da un libro di Stephen King.","racconto <br />undefined"
"V (the letter "V" in the Italian alphabet) \nLa lettera V si pronuncia come "vu".","V <br />undefined"
"meanwhile, in the meantime \nIo andrò al negozio, frattempo tu puoi preparare la cena.","frattempo <br />undefined"
"IV (the Roman numeral "IV") \nIV in numeri romani significa quattro.","IV <br />undefined"
"to wait \nDevo aspettare il mio amico all'aeroporto.","aspettare <br />undefined"
"fast, quick \nIl treno ad alta velocità è molto rapido.","rapido <br />undefined"
"millimeter \nLa larghezza del foglio è di 210 mm.","mm <br />undefined"
"architecture \nL'architettura barocca è caratterizzata da forme elaborate e ornamenti.","architettura <br />undefined"
"press, printing \nLa stampa ha rivoluzionato la diffusione delle informazioni.","stampa <br />undefined"
"island \nSardegna e Sicilia sono due grandi isole italiane.","Isola <br />undefined"
"task, assignment \nIl compito di matematica era difficile.","compito <br />undefined"
"to eliminate, to remove \nDevi eliminare tutti i cibi spazzatura dalla tua dieta.","eliminare <br />undefined"
"capable \nSono capace di parlare tre lingue.","capace <br />undefined"
"management, administration \nLa gestione dell'azienda è stata affidata ad un nuovo direttore.","gestione <br />undefined"
"fraction, district \nLa frazione del paese in cui abito è molto tranquilla.","frazione <br />"
"publication \nLa pubblicazione del suo libro è stata un grande successo.","pubblicazione <br />"
"late \nSiamo arrivati tardi alla riunione.","tardi <br />"
"London \nMi piacerebbe visitare Londra.","Londra <br />"
"normal \nÈ normale avere un po' di paura quando si parla in pubblico.","normale <br />"
"to need, to have to \nBisogna fare esercizio fisico regolarmente per stare in forma.","bisognare <br />"
"simply \nHo semplicemente bisogno di un po' di tempo per me stesso.","semplicemente <br />"
"topic, subject \nL'argomento della conferenza è stato la sostenibilità ambientale.","argomento <br />"
"planet \nMarte è un pianeta molto interessante.","pianeta <br />"
"realization, achievement \nLa realizzazione del progetto richiederà molto impegno.","realizzazione <br />"
"winner \nIl vincitore del concorso è stato annunciato ieri sera.","vincitore <br />"
"nation \nLa nostra nazione ha una lunga storia di lotta per la libertà.","nazione <br />"
"perfect \nLa torta era perfetta, non avrei potuto chiedere di meglio.","perfetto <br />"
"to appear, to show up \nNon so perché il mio nome non compare nella lista degli invitati.","comparire <br />"
"student \nSono un orgoglioso studente della scuola di ingegneria.","studente <br />"
"to contribute \nSiamo tutti chiamati a contribuire alla lotta contro il cambiamento climatico.","contribuire <br />"
"to hide \nHo dovuto nascondere il mio sorriso quando mi ha detto la sua battuta.","nascondere <br />"
"exemplar, model \nIl suo comportamento è stato esemplare.","esemplare <br />"
"ready, prepared \nSono pronto a iniziare il mio nuovo lavoro.","pronto <br />"
"university \nHo studiato all'università di Bologna.","università <br />"
"to divide, to share \nDobbiamo dividere equamente i nostri soldi.","dividere <br />"
"respective \nOgnuno ha il proprio ruolo e le rispettive responsabilità.","rispettivo <br />"
"code \nIl codice di accesso è necessario per accedere al sistema.","codice <br />"
"alive, living \nSiamo fortunati ad avere così tante specie di animali vive sulla Terra.","vivo <br />"
"honor \nÈ stato un grande onore ricevere il premio.","onore <br />"
"to exhibit, to display","esporre <br />Posso esporre i miei dipinti alla mostra d'arte."
"television","televisione <br />Guardiamo la televisione insieme stasera."
"hard, tough","duro <br />Questa carne è troppo dura da mangiare."
"to modify, to change","modificare <br />Ho dovuto modificare il mio piano a causa del maltempo."
"to push","spingere <br />Devi spingere la porta per aprirla."
"to interest, to be interested in","interessare <br />Mi interessa molto la storia dell'arte."
"producer","produttore <br />Il produttore di questo film ha vinto un premio Oscar."
"application","applicazione <br />Ho scaricato un'ottima applicazione per imparare le lingue."
"evening, night","serata <br />Stasera organizziamo una serata al cinema."
"regional","regionale <br />Questo piatto è tipico della cucina regionale toscana."
"eastern, oriental","orientale <br />L'arte orientale mi affascina molto."
"to submit, to present, to subject","sottoporre <br />Devi sottoporre il tuo progetto al responsabile del dipartimento."
"you","tu <br />Tu sei il mio migliore amico."
"communication","comunicazione <br />La comunicazione è importante in ogni relazione."
"coast, shore","costa <br />Abbiamo trascorso le nostre vacanze sulla costa adriatica."
"namesake, homonym","omonimo <br />Il mio nome è l'omonimo del famoso attore."
"journalist","giornalista <br />Il giornalista ha scritto un articolo molto interessante."
"municipal, city","comunale <br />La biblioteca comunale è aperta tutti i giorni."
"race, run","corsa <br />Ogni mattina faccio una corsa nel parco."
"rare, unusual","raro <br />Questa pianta è molto rara e difficile da trovare."
"to turn to, to address","rivolgere <br />Puoi rivolgerti a me per qualsiasi problema."
"southern, meridional","meridionale <br />Il Sud Italia è famoso per la sua cucina meridionale."
"as well as, and also","nonché <br />Il mio amico è un bravo musicista, nonché un appassionato di fotografia."
"to complete, to finish","completare <br />Devo completare il mio progetto entro la fine del mese."
"arch, bow","arco <br />Questa è un'immagine dell'arco di trionfo a Parigi."
"George","Giorgio <br />Example: Giorgio è il mio amico preferito. (George is my favorite friend.)"
"science","scienza <br />Example: La scienza è la mia materia preferita a scuola. (Science is my favorite subject in school.)"
"tower","torre <br />Example: La torre è molto alta e si può vedere tutta la città. (The tower is very tall and you can see the whole city.)"
"influence","influenza <br />Example: Mia madre ha molta influenza sulla mia vita. (My mother has a lot of influence on my life.)"
"positive","positivo <br />Example: Il pensiero positivo è molto importante per la felicità. (Positive thinking is very important for happiness.)"
"to involve, to engage","coinvolgere <br />Example: Cerco sempre di coinvolgere i miei amici nelle mie attività. (I always try to involve my friends in my activities.)"
"husband","marito <br />Example: Mio marito è molto affettuoso e mi fa ridere sempre. (My husband is very affectionate and always makes me laugh.)"
"motorcycle","moto <br />Example: La mia moto è veloce e divertente da guidare. (My motorcycle is fast and fun to drive.)"
"electric","elettrico <br />Example: L'auto elettrica è molto ecologica e non inquina l'ambiente. (The electric car "
"friendly and doesn't pollute the environment.)","is very eco<br />"
"David","David <br />Example: David è il nome del mio vicino di casa. (David is the name of my neighbor.)"
"foreign","estero <br />Example: Mi piace viaggiare all'estero e conoscere nuove culture. (I like to travel abroad and learn about new cultures.)"
"responsible, manager","responsabile <br />Example: Sono molto responsabile sul lavoro e mi piace essere un buon responsabile. (I am very responsible at work and I like to be a good manager.)"
"truth","verità <br />Example: È sempre meglio dire la verità, anche se può essere difficile. (It's always better to tell the truth, even if it can be difficult.)"
"enough, quite","abbastanza <br />Example: Ho abbastanza soldi per comprare una nuova macchina. (I have enough money to buy a new car.)"
"division","divisione <br />Example: La divisione è una delle operazioni matematiche più importanti. (Division is one of the most important mathematical operations.)"
"to promote","promuovere <br />Example: Cerco sempre di promuovere il mio lavoro e le mie idee. (I always try to promote my work and my ideas.)"
"sale","vendita <br />Example: Questo negozio ha molte offerte in vendita oggi. (This store has many sales offers today.)"
"last","scorso <br />Example: Lo scorso fine settimana sono andato al mare con la mia famiglia. (Last weekend, I went to the beach with my family.)"
"Madonna","Madonna <br />Example: Madonna è una cantante famosa che ha venduto milioni di album. (Madonna is a famous singer who has sold millions of albums.)"
"behavior","comportamento <br />Example: Il comportamento degli studenti in classe è molto importante per l'apprendimento. (The behavior of students in class is very important for learning.)"
"Greek","greco <br />Example: Mi piace molto la cucina greca, soprattutto il souvlaki. (I really like Greek cuisine, especially souvlaki.)"
